Longitude,Latitude,pH,Hardness,Solids,Conductivity,Turbidity
71.776528,29.304401,10.37647,138.34074,1238.55153,36.41537,2.48923
71.629009,29.308783,7.48825,100.89321,16287.8604,27475.084,23.46063
71.63014,29.347249,7.68795,89.55995,28922.10719,18784.80805,2.85427
71.744716,29.434366,6.83639,73.27713,20101.31429,46007.10424,1.73426
71.650211,29.38748,6.57793,95.87288,8359.45509,31189.68524,1.79248
71.698472,29.329246,7.49049,114.29579,24299.38485,11886.2695,48.86947
71.608704,29.342149,6.53477,109.02796,22376.51707,46112.02148,7.1226
71.726123,29.34074,7.01769,157.52652,16746.82662,4322.52056,8.28814
71.657207,29.313358,6.44035,160.34771,9669.58055,41254.87305,3.9841
71.779562,29.392505,8.49638,107.0854,20016.7453,40.16557,45.979
71.624766,29.328999,7.45051,170.28615,11934.3131,18547.58734,6.90875
71.76494,29.353465,6.85351,129.42766,35368.88316,37474.74892,22.6941
71.700657,29.320571,7.91363,4.38612,18012.10965,16.42178,0.26665
71.641039,29.293315,7.36969,85.59476,27370.25023,29803.8674,1.21468
71.772553,29.404455,7.30093,108.13124,15485.0386,24.44379,49.84984
71.693656,29.262828,7.78702,115.80591,30132.26704,19486.25262,9.57543
71.739169,29.268147,7.84549,82.60113,1131.34289,2960.08099,20.30718
71.634494,29.445829,5.14534,110.32712,2638.62437,19421.12275,7.70998
71.764154,29.40587,7.24104,94.11975,34471.61776,22734.29745,5.20094
71.713203,29.380401,6.53771,57.44923,19472.99074,218.03957,0.3384
71.60777,29.263075,7.93029,119.37932,8292.81291,19261.2239,15.55925
71.769842,29.43881,10.69219,88.69633,17899.44964,1.85806,3.29141
71.630604,29.37982,7.11524,86.02025,5873.30447,47008.33747,7.34363
71.639166,29.350194,7.33004,91.31695,36717.90664,6216.03249,5.00731
71.601835,29.457887,7.17795,136.00037,20826.75851,39075.85349,6.06428
71.695156,29.304529,6.64615,106.55441,12259.21307,7757.21594,7.51307
71.60073,29.308788,7.37388,19.70964,28704.96748,202.97088,9.55539
71.677148,29.411294,7.17909,47.73168,14650.90937,46181.34112,21.64482
71.60645,29.454082,7.6072,96.85516,3474.10764,7027.74761,4.49671
71.629403,29.454489,5.93181,79.07256,26743.64013,18492.14237,35.68069
71.701873,29.295896,7.97512,152.2697,18174.58626,50432.07338,3.60639
71.724165,29.357203,7.15642,74.7568,29531.69306,39639.61769,11.14858
71.625042,29.388656,7.57845,176.85533,1847.02121,41813.53659,21.59858
71.772045,29.455602,9.39095,227.52072,21205.75301,37955.48868,2.2084
71.667847,29.416456,7.80473,102.44791,33659.1324,130.36182,3.73161
71.644662,29.424276,7.87641,57.75127,20725.69797,25662.80298,19.42922
71.633914,29.299992,7.49694,91.19202,4434.0897,29173.46653,72.4256
71.772258,29.337716,7.44092,140.28882,35375.11552,50237.36967,24.44139
71.77474,29.451478,6.62197,119.7938,22430.93622,433.25177,8.4424
71.701499,29.448503,6.87231,81.22867,36806.97303,8615.72873,1.05608
71.698959,29.362831,6.81733,77.58597,21416.19255,3275.85376,6.04706
71.629671,29.295657,7.53614,101.39334,9782.42467,50859.83197,9.33642
71.700372,29.266946,6.69283,188.16088,7014.86712,41.06064,2.9993
71.623358,29.281516,9.90636,239.85429,16431.17168,40455.04119,8.01088
71.765737,29.338433,7.77292,110.90444,35614.3116,25.29302,6.73286
71.732748,29.451083,7.38807,129.65257,37256.40289,30099.86079,63.33342
71.665279,29.281008,6.64764,103.68435,24615.84931,25549.82283,6.68146
71.758828,29.373358,7.51715,82.30315,34626.28922,20313.80451,19.51965
71.673458,29.335054,7.89676,162.6971,21403.67857,54647.30877,0.76091
71.77745,29.383134,7.08552,100.15484,33457.00179,43103.78911,0.88711
71.742279,29.380909,10.16992,55.37172,28895.58852,221.35857,10.1175
71.704413,29.346842,8.88105,111.24331,4762.97653,45846.68867,9.6434
71.742293,29.34741,7.60718,92.29288,20244.23121,27241.59847,6.90647
71.65818,29.32584,10.56642,164.62058,8847.92401,40643.08203,8.42054
71.745891,29.345407,6.58925,97.56766,35463.31458,7204.21649,8.30085
71.76831,29.355377,6.86809,120.22837,25147.01012,6982.26489,9.02984
