Longitude,Latitude,pH,Hardness,Solids,Conductivity,Turbidity
71.70347,29.340575,7.61191,114.6004,29375.59872,9277.91382,169.31676
71.758714,29.389932,7.32492,103.288,22821.40295,16822.19803,7.74702
71.655102,29.308725,7.83841,102.71237,18709.74135,1198.35677,15.96812
71.686758,29.269873,9.61208,75.11957,14701.43531,47910.92014,10.82123
71.614682,29.289938,7.67141,157.91472,3942.64849,36071.43869,7.19963
71.62235,29.301042,7.14223,123.92014,27195.89094,24539.17106,10.28561
71.699582,29.367138,6.62445,99.55929,10231.47569,30580.59975,3.85125
71.736164,29.456538,7.26371,110.65357,27810.43269,2471.77068,98.20623
71.745606,29.385768,4.87209,62.62241,23064.06766,37578.01341,17.05778
71.619953,29.408938,7.06245,164.30796,105.71366,8833.42729,8.50204
71.675888,29.409829,7.3707,106.09637,30175.50229,48013.6896,2.96706
71.776814,29.421478,2.89388,69.87057,18094.53439,30994.41184,24.39878
71.609922,29.373403,7.37378,70.07955,17842.97862,258.80443,15.74755
71.74987,29.442561,7.79849,84.00466,39582.85973,17814.60974,0.33793
71.692684,29.416488,6.67346,69.77313,39358.38746,8342.57686,24.32542
71.607065,29.281531,7.69705,153.69662,3792.64511,18984.88535,21.53455
71.655305,29.405701,7.54335,104.17029,15302.87324,48937.69054,9.79327
71.751628,29.434008,7.7459,117.72194,14933.72223,18728.97022,3.63632
71.670246,29.416622,6.9044,75.71135,36559.89742,46121.2782,9.67046
71.629352,29.450588,7.72364,128.04538,10178.11964,47259.63207,23.68095
71.775599,29.267338,8.90043,106.96318,26912.51901,39997.90983,0.45716
71.76776,29.323547,7.53264,155.18856,27802.30246,43457.93769,10.92953
71.640038,29.314417,7.80434,68.85199,29976.99052,3486.27292,41.01091
71.652553,29.391002,7.04874,95.40733,38885.45894,5791.4222,7.55733
71.74716,29.365103,7.92376,105.59184,38858.56338,50463.9061,0.33598
71.728119,29.416931,7.21148,148.86593,20389.87199,767.96229,3.0744
71.751903,29.260221,9.71543,111.3695,31640.60961,54602.23707,2.96708
71.685802,29.369161,7.84725,173.74047,29538.30562,453.622,0.27298
71.778183,29.390083,7.0995,92.35299,30079.97771,105.85645,0.51807
71.701173,29.414875,6.82711,102.12753,9019.45222,42961.45942,9.19803
71.665422,29.269588,6.85387,160.95061,28998.42597,41388.22443,4.37705
71.60483,29.427981,7.16563,68.32753,34207.3263,103.84294,3.86792
71.625836,29.275326,6.57015,116.79508,26552.00377,42544.14868,33.69124
71.612439,29.386355,7.01845,269.78859,39634.13331,51144.89951,14.22155
71.614992,29.413712,7.09582,90.32337,18467.15421,24406.52724,17.84363
71.74931,29.391582,4.02435,85.61017,35643.10246,24495.99541,55.28032
71.741597,29.261543,9.70919,99.07005,3527.34082,11322.19119,8.47544
71.755258,29.357223,7.99036,8.65672,32012.76081,38594.66168,9.38781
